name,facts:de,facts:en,facts:eo,facts:es,facts:fr,facts:nl,facts:ru
Accipiter gentilis,"Viele Geflügelzüchter haben das ein oder andere abergläubsiche Ritual entwickelt, um ihre Tiere vor dem mächtigen Greifvogel zu schützen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Accipiter nisus,"Neuerdings brüten Sperber auch mitten in Großstädten, zum Beispiel auf Friedhöfen oder in Parks.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Acrocephalus arundinaceus,Mit dem Spruch „schimpfen wie ein Rohrspatz“ ist ursprünglich der Drosselrohrsänger gemeint.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Acrocephalus palustris,Entgegen seines Namens trifft man den Sumpfrohrsänger nicht in Sümpfen an.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Acrocephalus schoenobaenus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Acrocephalus scirpaceus,"Der Teichrohrsänger ist ein Schnellflieger unter den Vögeln, pro Sekunde schafft er in etwa zehn Meter.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Actitis hypoleucos,Der Familienverband kann sich mitunter mehrere Kilometer vom Brutplatz entfernen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Aegithalos caudatus,Die dünnen und langen Schwanzfedern machen 60 Prozent der Körperlänge aus.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Aix galericulata,In China stehen Mandarinenten symbolisch für eheliche Treue.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Alauda arvensis,Sie sind sehr ausdauernd und können bis zu 15 Minuten lang im Singflug ihre Strophen vortragen. Dabei steigen sie bis zu 100 Metern auf – eine gewaltige Atemleistung.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Alcedo atthis,"Eisvögel praktizieren die Schachtelbrut: Das Weibchen brütet oft schon auf dem zweiten Gelege, während das Männchen noch die Küken aus dem vorherigen Gelege füttert.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Alopochen aegyptiaca,Beim Brutplatz ist die Nilgans nicht wählerisch. Man findet ihre Nester in Storchenhorsten oder auf Brückenpfeilern.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anas acuta,Die älteste entdeckte Spießente war 27 Jahre alt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anas crecca,"Verlässt das Weibchen während der Brutzeit das Nest, wird es vom Männchen stets eng begleitet.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anas platyrhynchos,Die Weibchen brüten auch immer mal wieder in Balkonkästen. Feuerwehr oder Naturschützer bringen dann Entenmutter und Küken nach dem Schlupf zum nächsten Teich.,"Females also breed in flower pots on the windows from time to time. After hatching, the fire brigade or environmentalists move the duck and chicks to a nearby pond.",-,-,-,-,Самки также время от времени размножаются в цветочных горшках на окнах. После вылупления пожарная бригада или защитники окружающей среды переносят утку и птенцов в ближайший пруд.
Anser albifrons,Die älteste beringte wilde Blässgans war 25 Jahre alt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anser anser,Bei Graugänsen gibt es auch gleichgeschlechtliche Partnerschaften zwischen Männchen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anser serrirostris,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anthus pratensis,Der Kuckuck legt gern sein Ei in das Nest des Wiesenpiepers.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anthus spinoletta,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Anthus trivialis,Schon mal einem Baumpieper beim Singflug zugeschaut? Nein? Dann wird es höchste Zeit! Denn der Baumpieper wirkt beim Landen ein bisschen wie ein abstürzendes Segelflugzeug.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Apus apus,Außerhalb der Fortpflanzungszeit verbringen Mauersegler mehrere Monate lang fliegend. Dabei können sie sogar schlafen und im Flug Sex haben.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ardea alba,"Es ist vermutlich nur noch eine Frage der Zeit, bis er hier ein regelmäßiger Brutvogel wird.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ardea cinerea,"Sie erschließen immer mehr neue Brutgebiete, so kann man Brutkolonien mittlerweile auch teilweise in Zoos in Städten antreffen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ardea purpurea,Der fortschreitende Klimawandel wird die Ausbreitung des Purpurreihers in Deutschland begünstigen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Asio flammeus,"Mit ihrem tarnfarbigen Gefieder ist sie so gut an ihre Umgebung angepasst, dass man sie wirklich kaum entdeckt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Asio otus,"Waldohreulen bauen meist nicht selbst ihre Nester, sondern brüten in alten Krähen- oder Greifvogelnestern.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Athene noctua,Sein wissenschaftlichen Namens bedeutet so viel wie „Athene bei Nacht“.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Aythya ferina,Die Tafelente wurde früher gerne verspeist. Der lateinische Begriff „ferina“ bedeutet „Wildbret“.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Aythya fuligula,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Branta canadensis,"Wenn Kanadagänse selber keinen Bruterfolg hatten, entführen sie auch schon mal den Nachwuchs von Artgenossen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Branta leucopsis,Die Hinterlassenschaften brütender Weißwangengänse liegen ringförmig um ihr Nest.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Bubo bubo,"Die markanten Federohren dienen nicht dem Hören, sondern dazu, die Stimmung wiederzugeben.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Bucephala clangula,Die gerade geschlüpften Schellentenküken springen aus den Nisthöhlen zum Teil über zehn Meter auf den Boden und tun sich nichts.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Buteo buteo,"Es gibt viele verschiedene Morphen, die von fast ganz weiß bis dunkelbraun variieren können.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Calidris alpina,Drei Viertel seines Lebens verbringt er auf dem Zug oder im Winterquartier.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Calidris pugnax,Die Farben der spektakulären Halskrausen der Männchen reichen von Weiß über Gelb- und Rottöne bis Schwarz. In einem Trupp sieht kaum ein Männchen aus wie das andere.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Carduelis carduelis,"Einer Sage nach hat der Stieglitz, um den Schmerz zu lindern, einen Dorn aus der Haut Jesu Christi gezogen und kam durch das heilige Blut an seine rote Gesichtsmaske.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Certhia brachydactyla,"In kalten Nächten schlafen Gartenbaumläufer in Gruppen und wechseln immer wieder die Position, sodass jeder mal den wärmsten Platz in der Mitte hat","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Certhia familiaris,Waldbaumläufer laufen am Tag eine Strecke von bis zu drei Kilometern an Bäumen hoch.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Charadrius dubius,In manchen Regionen brüten Flussregenpfeifer auf den Stellflächen von Windrädern.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Charadrius hiaticula,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Chloris chloris,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Chroicocephalus ridibundus,"Den Zugang in die Brutkolonie erhalten Lachmöwen erst, wenn im dritten Lebensjahr ihr Kopf eindeutig dunkel gefärbt ist.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ciconia ciconia,"Der Weißstorch wird auch „Klapperstorch“ genannt, was auf das laute, charakteristische Klappern des Schnabels am Nest zurückzuführen ist.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Cinclus cinclus,"Sie ist so sehr ans Leben am Wasser angepasst, dass sie sogar unter dem Wasser mehrere Meter laufen kann.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Circus aeruginosus,"Ihr Name deutet darauf hin, dass sie häufig in Röhrichten brütet.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Circus cyaneus,Der Name mag etwas irreführend sein – in Kornfeldern trifft man sie selten an.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Coccothraustes coccothraustes,Mit seinem Schnabel kann er einen Druck bis zu 50 Kilogramm aufbauen und so locker Nüsse und Kerne knacken.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Columba livia domestica,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Columba oenas,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Columba palumbus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Corvus corax,Kolkraben nutzen eine eigene Sprache. Bis zu 79 verschiedene Rufe konnten nachgewiesen werden. Sogar Regeln für den Gebrauch gibt es.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Corvus cornix,"Im Osten Deutschlands ist die Nebelkrähe häufig, im Westen trifft man eher auf Rabenkrähen. Im Überschneidungsgebiet sind häufig Hybriden unterwegs.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Corvus corone,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Corvus frugilegus,"Saatkrähen machen sich während der Balzzeit gegenseitig Geschenke, meist in Form von Futter.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Corvus monedula,Dohlen sind hochintelligente und sehr soziale Vögel. Sie kümmern sich sogar um kranke Tiere und helfen bei der Versorgung anderer Jungtiere.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Coturnix coturnix,Wachteleier sind nur etwa 30 Millimeter groß.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Cuculus canorus,Farbe und Größe der Kuckuckseier sind variabel. Sie richten sich nach dem Aussehen der Eier der Wirtsvögel.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
