name,facts:de,facts:en,facts:eo,facts:es,facts:fr,facts:nl,facts:ru
Curruca communis,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Curruca curruca,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Cyanistes caeruleus,Blaumeisen wiegen nur ungefähr so viel wie zwei 20-Cent-Münzen. Bei diesem Fliegengewicht können sie sich auch an dünnen Zweigen kopfüber entlang hangeln.,Blue tits only weigh about as much as two 20 cent coins. With this flyweight they can also shimmy upside down on thin branches.,-,-,-,-,Лазоревки весят не больше двух 20-центовых монет. С таким весом они могут перемещаться вверх ногами на тонких ветках.
Cygnus columbianus bewickii,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Cygnus cygnus,"Singschwäne ziehen häufig als Familie ins Überwinterungsgebiet, trennen sich dann aber im Frühjahr auf dem Rückzug.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Cygnus olor,"Der elegante Schwan gilt häufig als Symbol der Liebe, allerdings zeigt er im Frühjahr am Brutplatz ein aggressives Verhalten gegenüber potenziellen Feinden.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Delichon urbicum,Ein Lehmnest besteht aus bis zu 1500 gesammelten Lehmkügelchen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Dendrocopos major,"Es soll Spechtschmieden geben, unter denen schon mehrere Tausend leere Kiefern- und Fichtenzapfen gefunden wurden.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Dendrocoptes medius,Baumsaft spielt für die Ernährung des Mittelspechts eine wichtige Rolle. Mit seiner langen Zunge wird dieser vom Stamm abgeleckt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Dryobates minor,"In Südamerika gibt es noch kleinere Spechtarten, zum Beispiel den Goldstirn-Zwergspecht mit einer Gesamtlänge von nur 7,5 Zentimetern.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Dryocopus martius,Sein wissenschaftlicher Gattungsname bedeutet so viel wie „kriegerischer Eichenhämmerer“.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Emberiza citrinella,"Merksprüche für Vogelgesänge sind meistens etwas albern, helfen aber garantiert. Bei der Goldammer hört man mit etwas Fantasie ein „wie-wie-wie hab ich die liiiieb“.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Emberiza schoeniclus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Erithacus rubecula,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Falco peregrinus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Falco subbuteo,"Hat er eine Libelle gefangen, knippst er ihr häufig im Flug noch die Flügel mit dem Schnabel ab, um sie dann zu verspeisen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Falco tinnunculus,Als einzige der in Deutschland brütenden Falkenarten ist das Aussehen von Männlein und Weiblein beim Turmfalken unterschiedlich.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ficedula hypoleuca,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Fringilla coelebs,Buchfinken haben unterschiedliche regionale Dialekte.,Chaffinches have different regional dialects.,-,-,-,-,У зябликов есть разные региональные диалекты.
Fringilla montifringilla,"Die nächtliche „Böhämmerjagd“ war bis 1908 in der Pfalz sehr beliebt. Die Vögel saßen eng aufgereiht und rückten einfach nach, wenn durch Abschuss eine Lücke entstand.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Fulica atra,Blässhühner sind im Winter eine bevorzugte Beute des Seeadlers.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Gallinago gallinago,"Den Spitznamen „Himmelsziege“ verdankt sie dem meckernden Geräusch, das beim Balzflug des Männchens durch das Vibrieren der Steuerfedern erzeugt wird.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Gallinula chloropus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Garrulus glandarius,Durch das Verstecken von Eicheln haben Eichelhäher erheblich zur Ausbreitung unserer Eichenwälder beigetragen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Grus grus,Im Havelland wurden an einem Tag bis zu 80.000 Kraniche beim Rasten gezählt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Haematopus ostralegus,"Der Name ist etwas irreführend: Weder frisst er häufig Austern, noch fischt er. Er bevorzugt andere Muscheln, Würmer und Krebse.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Haliaeetus albicilla,Der Horst eines Seeadlers kann einen Durchmesser von bis zu zwei Metern erreichen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Hippolais icterina,Als besonders spät eintreffende und früh abziehende Zugvögel der Gartenvogelwelt verbringen Gelbspötter nur maximal drei Monate des Jahres im Brutgebiet.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Hirundo rustica,Rauchschwalben fliegen bis zu 20 Meter pro Sekunde bei vier bis zehn Flügelschlägen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Ichthyaetus melanocephalus,"Wenn Schwarzkopfmöwen keinen Partner finden, können Mischbruten mit Lach- oder Sturmmöwen entstehen. Auch die Adoption der Küken von Lachmöwen wurde beobachtet.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Lanius collurio,"Neben der Vorratshaltung der Beute scheint auch das Vorbereiten der Nahrung wichtig zu sein: Die Beutetiere werden an Dornen zerteilt, aufgebrochen oder entstachelt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Larus argentatus,In Berlin brüten Silbermöwen seit kurzem auf dem Bundeskanzleramt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Larus canus,Die älteste beringte Sturmmöwe war über 33 Jahre alt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Larus fuscus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Larus marinus,Mutige Mantelmöwen jagen sogar Seeadlern und Heringshaien die Beute ab.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Larus michahellis,Den ersten Brutnachweis für Deutschland gab es erst im Jahre 1987.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Limosa limosa,Auf der Nahrungssuche stößt sie manchmal den kompletten Schnabel in den Schlickboden.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Linaria cannabina,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Locustella luscinioides,"Bei Gefahr nimmt der Rohrschwirl eine Pfahlstellung ein, bei der er versucht, mit seiner Umgebung zu verschmelzen, beispielsweise indem er einen Schilfhalm imitiert.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Lophophanes cristatus,Die Haubenmeise ist die einzige europäische Meisenart mit einer voll ausgeprägten Haube.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Loxia curvirostra,"Sie brüten in jeder Jahreszeit, also auch mitten im Winter, und orientieren sich dabei am Nahrungsangebot.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Luscinia luscinia,Sprosser wählen für den Zug in die Winterquartiere eine andere Route als auf dem Rückzug. Ein solches Verhalten nennt man Schleifenzug.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Luscinia megarhynchos,"Jedes Männchen hat ein komplexes Repertoire von bis zu 200 Strophentypen. Im Brutgebiet singen sie rund um die Uhr, wenn sie ein Weibchen gefunden haben nur noch tagsüber.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Luscinia svecica,"In den Alpen gibt es teilweise rotsternige Blaukehlchen, die sonst in Skandinavien beheimatet sind. Ob es sich um Eiszeitrelikte oder Neuansiedlungen handelt, ist unklar.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Mareca penelope,Für ihre nächtliche Nahrungssuche hat die Pfeifente eine reflektierende Schicht im Auge. Wie eine Katze kann sie damit auch nachts sehr gut sehen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Mareca strepera,Der Artname „strepera“ aus dem Lateinischen bedeutet „lautstark“ und passt somit zur deutschen Artbezeichnung.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Mergus merganser,"Frisch geschlüpfte Jungen müssen sich gegebenenfalls einige Meter tief aus dem Nest auf den Boden stürzen. Dies meistern sie, ohne Schaden davonzutragen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Milvus migrans,Der schwedische Name „Brun Glada“ (Braunmilan) wird seinem dunkelbraunen Federkleid deutlich gerechter.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Milvus milvus,"Es gibt keine andere Vogelart, von der ein so großer Anteil des Weltbestandes in Deutschland brütet.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Motacilla alba,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Motacilla cinerea,"Das schnelle Wippen des Schwanzes ist wahrscheinlich als Signal zu deuten, weniger als Balancehilfe.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Motacilla flava,"Ihren Namen verdankt sie der Eigenschaft, Weidetieren auf der Suche nach Nahrung zu folgen und von ihnen aufgescheuchte Insekten zu fressen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Muscicapa striata,"Neben Baumhöhlen, Astgabeln, Mauerlöchern oder Rankenpflanzen nistet er auch gerne mal in Schwalbennestern, hinter Fensterläden und in Blumenkästen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Netta rufina,Die Kolbenente legt einen außergewöhnlich hohen Teil ihrer Eier in fremde Nester. Diese werden dann von einem anderen Weibchen ausgebrütet.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Nucifraga caryocatactes,"Der Tannenhäher legt pro Jahr bis zu 6.000 Vorratsverstecke an, welche die Tiere von Spätsommer bis zum Sommer des Folgejahres ernähren können. Davon werden etwa 80% wiedergefunden; sogar unter einer Schneedecke. Eine unglaubliche Leistung.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Numenius arquata,Sein langer nach unten gebogener Schnabel ist ein echter Hingucker.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Numenius phaeopus,Markant ist der kichernde Ruf des Regenbrachvogels.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
