name,facts:de,facts:en,facts:eo,facts:es,facts:fr,facts:nl,facts:ru
Oenanthe oenanthe,Grönländische und kanadische Steinschmätzer legen jährlich auf ihrem Vogelzug 30.000 Kilometer zurück.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Oriolus oriolus,Nach seinem Pfeifen wurde der Vogel früher auch „Vogel Bülow“ genannt. Der französische Name des Pirols lautet „Loriot“.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Pandion haliaetus,Aus der Entfernung wirkt ein Fischadler manchmal wie eine riesige Großmöwe.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Parus major,"Meisen bauen ihr Nest zwar meist in Baumhöhlen, nicht selten nutzen sie aber auch Briefkästen.","Tits usually build their nests in tree hollows, but they also often use mailboxes.",-,-,-,-,"Синицы обычно строят свои гнезда в дуплах деревьев, но нередко они используют почтовые ящики."
Passer domesticus,"Im 19. Jahrhundert gab es eine Spatzensteuer von 20 Spatzenköpfen, da sie als Schmarotzer galten, die den Menschen die Samen auf den Feldern wegfressen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Passer montanus,Feldsperlinge sind sehr treue Gesellen und gehen eine lebenslange Partnerschaft ein. Im Winter kuscheln sie sich gerne mit anderen Feldsperlingen in einen Nistkasten.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Perdix perdix,Für ihre Größe können Rebhühner eine erstaunliche Zahl an Eiern legen – bis zu 20 Stück.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Periparus ater,"20- bis 56-mal fliegt die Tannenmeise stündlich mit Nahrung zu den Jungen, wenn sie größer sind.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Pernis apivorus,"Seine vergleichsweise wenig stark gebogenen Krallen sind das perfekte Werkzeug, um nach Wespenlarven im Boden zu graben.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phalacrocorax carbo,"Damit er tief tauchen und Fische verfolgen kann, fettet er sein Gefieder nicht ein. Dass er es danach trocknen muss, unterscheidet ihn von anderen Wasservögeln.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phasianus colchicus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phoenicurus ochruros,Mancherorts gilt der Hausrotschwanz als Glücksbringer.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phoenicurus phoenicurus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phylloscopus collybita,"Auch in anderen Sprachen singt der Zilpzalp seinen Namen. Im Englischen heißt er zum Beispiel „Chiffchaff“, in den Niederlanden „Tjiftjaf“.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phylloscopus sibilatrix,Einige Männchen sichern sich lieber ab und werben während der Brut des ersten Weibchens in einem zweiten Territorium um ein weiteres Weibchen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Phylloscopus trochilus,Der Fitis mag es gerne schick. Er mausert als einzige europäische Vogelart sein Großgefieder gleich zwei Mal im Jahr.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Pica pica,"Zu den üblichen Balzritualen von Elstern zählen Gefiederkraulen, Schnäbeln und Balzfüttern. Die Paare bleiben oft lebenslang zusammen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Picus viridis,Bis zu zehn Zentimeter kann die lange Zunge des Grünspechtes aus seinem Schnabel hervorschnellen – perfekt für die Ameisenjagd!,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Platalea leucorodia,"Der Löffler stockt seine Nester immer weiter auf, sodass eine Art Thron entsteht, der eine stattliche Höhe von 50 Zentimetern erreichen kann.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Podiceps cristatus,Haubentaucher können bis zu 45 Sekunden unter Wasser bleiben.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Podiceps nigricollis,"Die Küken werden ganz schön verwöhnt. Obwohl sie bereits schwimmen können, werden sie auf dem Rücken der Eltern umhertransportiert und gefüttert.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Poecile montanus,Die Weidenmeise wird auch „Mönchsmeise“ genannt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Poecile palustris,Die Sumpfmeise wird auch „Nonnenmeise“ genannt.,"If marsh tits find a good supply start to hoard seeds, hiding them for a rainy day. Their hippocampus is large, bigger than a great tit's",-,-,-,-,-
Prunella modularis,"Treu sind Heckenbraunellen nicht gerade, deshalb können die Küken aus einem Nest auch von verschiedenen Männchen abstammen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Psittacula krameri,"Halsbandsittiche halten nicht viel vom Baden, viel lieber nehmen sie eine kleine Dusche im Regen oder zwischen nassen Blättern.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Pyrrhocorax graculus,Ähnlich wie der berühmte Wetterfrosch können auch Alpendohlen das Wetter vorhersagen. Ihr Erscheinen in den Tälern im Winter gilt als Vorbote von frühen Schneefällen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Pyrrhula pyrrhula,Der Name „Dompfaff“ spielt auf die roten Talare der Geistlichen in der Kirche an. Der kompakten Gestalt verdanken sie ihren englischen Namen „Bullfinch“.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Rallus aquaticus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Recurvirostra avosetta,Gerade die Küken picken mit ihren eher kurzen Schnäbeln auch nach Nahrung.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Regulus ignicapilla,Dank des markanten Kopfmusters hat das winzige Sommergoldhähnchen einen sehr grimmigen Gesichtsausdruck.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Regulus regulus,Die winzigen Weibchen können bis zu zwölf Eier legen. Das Gelege kann dann bis zu anderthalbmal so viel wiegen wie der Vogel.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Riparia riparia,Auf dem beschwerlichen Zug in die Wintergebiete übernachten die sonst in Röhren brütenden Vögel in Schilfbeständen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Saxicola rubetra,"Bei Überflug eines Greifvogels nimmt das Braunkehlchen eine „Pfahlstellung“ ein und versucht so, sich unsichtbar zu machen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Saxicola rubicola,Der wissenschaftlich Name „rubicola“ bedeutet „Brombeerstrauch-Bewohner“. Einzelne Sträucher auf einer sonst offenen Fläche fliegt das Schwarzkehlchen gerne an.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Serinus serinus,"Der Girlitz singt seinen eigenen Namen – gut zu merken, oder? Ansonsten hilft auch der Vergleich mit einer quietschenden Fahrradkette.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Sitta europaea,"Ein „Kleiber“ ist im Mittelhochdeutschen ein Handwerker, der eine Lehmwand baut – so wie der Vogel die Eingänge der Nisthöhlen mit Lehm verkleidetet.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Somateria mollissima,"Frisst die Eiderente Muscheln, werden diese im Ganzen verschluckt und im Muskelmagen mithilfe kleiner Steinchen zerkleinert.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Spatula clypeata,Löffelenten brüten auch in wiedervernässten Hochmooren nach dem Torfabbau.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Spatula querquedula,Knäkenten fliegen von unseren Entenarten am weitesten. Sie werden als Überwinterungsgast sogar in Australien nachgewiesen.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Spinus spinus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Sterna hirundo,Die Bezeichnung haben sie wohl wegen des gegabelten Schwanzes und des eleganten Flugstils. Sie sind aber mit den Möwen verwandt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Streptopelia decaocto,Sie sind sehr frühreif. Die erste Brut kann mitunter drei bis vier Monate nach dem Schlüpfen begonnen werden.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Strix aluco,Sein Gesang wird regelmäßig in Filmen und Serien bei Einbruch der Nacht eingespielt und ist somit sehr bekannt.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Sturnus vulgaris,"Der Star baut andere Tierlaute in seinen Gesang ein. Kenner*innen können heraushören, welche Arten in seinem Umfeld leben.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Sylvia atricapilla,"Mönchsgrasmücken passen sich flexibel an mildere Winter an: In den 80er Jahren entdeckten sie England als Überwinterungsgebiet, das auch heute noch genutzt wird.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Sylvia borin,"Der Name stammt wahrscheinlich von „gra“ für „grau“ und „smücke“ für „Ducker“, was die Vögel recht gut charakterisiert.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tachybaptus ruficollis,"Bei Gefahr entscheidet er sich immer für den Rückzug. Er taucht einfach ab und warnt seine Artgenossen, indem er mit den Hinterfüßen Wasser aufspritzt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tadorna ferruginea,"Als Höhlenbrüter brüten sie vor allem in Baum-, Fels- oder Erdhöhlen. Ab und zu nisten die Tiere aber auch in verlassenen Greifvogelnestern.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tadorna tadorna,In einem Brandgans-Kindergarten können sich bis zu 100 Küken tummeln.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tringa glareola,Er zählt zu den am regelmäßigsten und häufigsten durchziehenden Arten im Binnenland.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tringa nebularia,Auch sein englischer Name „Common Greenshank“ leitet sich von seinen grünen Beinen ab.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tringa ochropus,"Tyrannosaurus Rex ist näher mit dem Spatz verwandt als mit dem Stegosaurus.|Passeriformes (Singvögel) bilden mit etwa 6.500 Arten die größte Ordnung innerhalb der Vögel. Sie machen damit etwa 60% aller Vogelarten aus. |Die Lunge eines Vogels nimmt viel mehr Platz in ihrem Körper ein als die eines Menschen. Zum Beispiel machen die Lungen eines Menschen ein Zwanzigstel ihres Körpers aus, während ein Vogel ein Fünftel beansprucht.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tringa totanus,"Rotschenkel gehören zu den Watvögeln, die auch Limikolen genannt werden. Unter Vogelkundlern sind sie sehr beliebt und werden häufig liebevoll mit „Limis“ abgekürzt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Troglodytes troglodytes,Der Zaunkönig hat im Verhältnis zu seiner Körpergröße die lauteste Stimme. Er kommt auf bis zu 90 Dezibel und ist damit fast 500 Meter weit zu hören.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Turdus iliacus,Auf dem Weg ins Winter- oder Brutquartier fliegen Rotdrosseln oft in großen Trupps. Ihre Silhouette erinnert dabei ein wenig an die von Staren.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Turdus merula,Amseln können während des Schlafs eine Gehirnhälfte aktiv halten.|Amseln fangen schon 45 Minuten vor Sonnenaufgang an zu singen. In Städten können sie aufgrund von Lichtverschmutzung allerdings auch nachts singen.|Die Amsel war bis noch vor 150 Jahren ein scheuer Waldbewohner.|Stadtamseln starten ihre Brut früher als Waldamseln.,"During their sleep, blackbirds are capable of maintaining one hemisphere of their brain awake.|Blackbirds start singing 45 minutes before sunrise. In cities, however, they can also sing at night due to light pollution.|150 years ago blackbirds were still shy forest dwellers.|City blackbirds start their breeding earlier than forest blackbirds.",-,-,-,-,"Во время сна чёрные дрозды способны поддерживать в бодрствующем состоянии одно полушарие своего мозга.|Черные дрозды начинают петь за 45 минут до восхода солнца. Однако в городах они также могут петь ночью из-за светового загрязнения.|Ещё 150 лет назад чёрный дрозд был застенчивым лесным обитателем.|Городские дрозды начинают размножаться раньше, чем лесные дрозды."
Turdus philomelos,"Singdrosseln fressen gerne Schnecken, deren Häuser sie auf einem Stein aufknacken. Solche Plätze mit zerschlagenen Schneckenhäusern werden „Drosselschmiede“ genannt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Turdus pilaris,"Kommt ein Greifvogel der brütenden Kolonie zu nah, attackieren die Drosseln den Feind und bespritzen ihn mit Kot, sodass er sogar kurzzeitig nicht mehr fliegen kann.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Turdus viscivorus,Durch das Auskoten der Beeren trägt die Misteldrossel stark zur Verbreitung der Pflanze bei und verteidigt „ihre Mistelbäume“ aggressiv gegenüber Nahrungskonkurrenten.,"Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Tyto alba,"Es gibt zwei Farbvarianten der Schleiereule, die scheinbar zufällig in der Population verteilt sind und deren Funktion der Wissenschaft Rätsel aufgibt.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
Vanellus vanellus,"Männchen scharren kleine Mulden in den Boden und rupfen Gräser, um die Weibchen mit diesem sogenannten „Scheinnisten“ von ihren Nestbau-Qualitäten zu überzeugen.","Tyrannosaurus Rex is more closely related to sparrows than to Stegosaurus.|Passerines (song birds) are the largest order of birds with over 6.500 species. That is 60% of all bird species|Most birds are unable to move their eyes, instead moving their whole head to get a good view of their surroundings.",-,-,-,-,-
