name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Alauda arvensis,18-19,33-45,30-36,"seeds, insects","farmland, grassland, heathland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Alaudidae</div><div>Genus&nbsp;<i>Alauda</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland, Heide, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона, возвышенности"
Branta canadensis,90-110,4.3-5k,1.5-1.8m,"grass, leaves, seeds","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Branta</i></div>,"Gras, Blätter, Samen",,,,,"трава, листья, семена","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Streptopelia decaocto,32,200,51,"seeds, grain, buds","farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Streptopelia</i></div>,"Samen, Körner, Knospen",,,,,"семена, зерно, бутоны","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Poecile palustris,11.5,10-13,18-19.5,"insects, seeds","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Poecile</i></div>,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Tachybaptus ruficollis,25-29,100-140,40-45,insects,"marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Podicipediformes</div><div>Family Podicipedidae</div><div>Genus&nbsp;<i>Tachybaptus</i></div>,Insekten,,,,,насекомые ,"Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Pyrrhula pyrrhula,14.5-16.5,21-27,22-26,"seeds, buds, insects","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Pyrrhula</i></div>,"Samen, Knospen, Insekten",,,,,"семена, бутоны, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Vanellus vanellus,28-31,140-320,82-87,"worms, insects","farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Charadriidae</div><div>Genus&nbsp;<i>Vanellus</i></div>,"Würmer, Insekten",,,,,"черви, насекомые ","Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Anas crecca,34-38,240-360,58-64,seeds,"grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Samen,,,,,семена,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Milvus milvus,60-66,"800-1,300",175-195,"carrion, worms","woodland, farmland, upland, urban, suburban",,"Aas, Würmer",,,,,"падаль, черви","lichte Wälder, Äcker, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, возвышенности, городская среда, пригород"
Emberiza schoeniclus,15-16.5,16-25,21-28,"seeds, insects","farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Emberizidae</div><div>Genus&nbsp;<i>Emberiza</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Aythya ferina,46,930,77,"plants, seeds, snails, insects","marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus <i>Aythya</i></div>,"Pflanzen, Samen, Schnecken, Insekten",,,,,"растения, семена, улитки, насекомые ","Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, городская среда, пригород"
Corvus cornix,45-47,370-650,93-104,"carrion, grain, eggs","woodland, farmland, grassland, marine, intertidal, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i></div>,"Aas, Körner, Eier",,,,,"падаль, зерно, яйца","lichte Wälder, Äcker, Grasland, Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности, городская среда, пригород"
Corvus corax,60-68,"800-1,500",120-150,"carrion, birds, eggs, insects","woodland, farmland, marine, intertidal, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i></div>,"Aas, Vögel, Eier, Insekten",,,,,"падаль, птицы, яйца, насекомые ","lichte Wälder, Äcker, Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, море, приливно-отливная зона, возвышенности, городская среда, пригород"
Regulus regulus,9,6,14,insects,"woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Regulidae</div><div>Genus&nbsp;<i>Regulus</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Spinus spinus,12,12-18,20-23,"seeds, insects","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus <i>Spinus</i>&nbsp;/ <i>Carduelis</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Phylloscopus trochilus,10.5-11.5,7-12,16-22,"insects, fruits, berries","woodland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Phylloscopidae</div><div>Genus&nbsp;<i>Phylloscopus</i></div>,"Insekten, Früchte, Beeren",,,,,"насекомые , фрукты, ягоды","lichte Wälder, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, травянистые сообщества, пустоши, городская среда, пригород"
Alcedo atthis,16-17,34-46,24-26,fish,"farmland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Coraciiformes</div><div>Family Alcedinidae</div><div>Genus&nbsp;<i>Alcedo</i></div>,Fische,,,,,рыба,"Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Larus argentatus,54-60,690-1440,130-150,"carrion, offal, seeds, fruits, eggs, insects, fish","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Aas, Fleischabfälle, Samen, Früchte, Eier, Insekten, Fische",,,,,"падаль, потроха, семена, фрукты, яйца, насекомые , рыба","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Coccothraustes coccothraustes,18,48-62,29-33,"seeds, buds","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus <i>Coccothraustes</i></div>,"Samen, Knospen",,,,,"семена, бутоны","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Linaria cannabina,13.5,15-22,21-25.5,"seeds, insects","farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Fringillidae</div><div>Genus&nbsp;<i>Linaria</i>&nbsp;or <i>Carduelis</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Cuculus canorus,32-34,105-130,55-65,insects,"woodland, farmland, heathland, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Cuculiformes</div><div>Family Cuculidae</div><div>Genus <i>Cuculus</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Heide, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, пустоши, возвышенности, городская среда, пригород"
Phasianus colchicus,53-89,"1,000-1,700 (male); 750-1,200 (female)",70-90,"seeds, grain, insects","woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Galliformes</div><div>Family Phasianidae</div><div>Genus&nbsp;<i>Phasianus</i></div>,"Samen, Körner, Insekten",,,,,"семена, зерно, насекомые ","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Ciconia ciconia,,,,,,,,,,,,,,,,,,
Corvus frugilegus,44-46,280-340,81-99,"worms, grain, insects, birds, eggs, carrion","woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Corvidae</div><div>Genus&nbsp;<i>Corvus</i></div>,"Würmer, Körner, Insekten, Vögel, Eier, Aas",,,,,"черви, зерно, насекомые , птицы, яйца, падаль","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Accipiter nisus,28-38,110-196 (male); 185-342 (female),55-70,"birds, bats","woodland, farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Accipiter</i></div>,"Vögel, Fledermäuse",,,,,"птицы, летучие мыши","lichte Wälder, Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Spatula clypeata,44-52,400-1000,70-84,plants,"grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Pflanzen,,,,,растения,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Mergus merganser,,,,,,,,,,,,,,,,,,
Curruca communis,14,12-18,18.5-23,"insects, berries, fruits","woodland, farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sylviidae</div><div>Genus&nbsp;<i>Sylvia</i> or <i>Curruca</i></div>,"Insekten, Beeren, Früchte",,,,,"насекомые , ягоды, фрукты","lichte Wälder, Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Turdus viscivorus,27,100-150,42-48,"worms, slugs, insects, berries","woodland, farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Turdidae</div><div>Genus&nbsp;<i>Turdus</i></div>,"Würmer, Nacktschnecken, Insekten, Beeren",,,,,"черви, слизни, насекомые , ягоды","lichte Wälder, Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Mareca penelope,45-51,500-900,75-86,grass,"grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anas</i></div>,Gras,,,,,трава,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Periparus ater,11.5,8-10,17-21,"insects, seeds","woodland, heathland, urban, suburban",,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, пустоши, городская среда, пригород"
Motacilla flava,17,16-22,23-27,"insects, flies, beetles","farmland, grassland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Motacilla</i></div>,"Insekten, Fliegen, Käfer",,,,,"насекомые , мухи, жуки","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Anthus pratensis,14.5,15-22,22-25,"insects, flies, beetles","farmland, grassland, heathland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Anthus</i></div>,"Insekten, Fliegen, Käfer",,,,,"насекомые , мухи, жуки","Äcker, Grasland, Heide, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона, возвышенности"
Larus canus,40-42,300-480,110-130,"worms, insects, fish, carrion, rubbish","farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Würmer, Insekten, Fische, Aas, Abfall",,,,,"черви, насекомые , рыба, падаль, отбросы","Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Acrocephalus scirpaceus,13,10-15,17-21,"insects, berries","farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Circus aeruginosus,48-56,400-660 (male); 540-800 (female),115-130,,"farmland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Circus</i></div>,,,,,,,"Äcker, Meer, Watt",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона"
Motacilla cinerea,18-19,14-22,25-27,insects,"marine, intertidal, upland, urban, suburban",,Insekten,,,,,насекомые ,"Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"море, приливно-отливная зона, возвышенности, городская среда, пригород"
Bucephala clangula,42-50,650-1200,65-80,plants,"marine, intertidal",,Pflanzen,,,,,растения,"Meer, Watt",,,,,"море, приливно-отливная зона"
Larus michahellis,55-67,"1,100 birds",1-4 pairs,scavenger,"farmland, marine, intertidal, urban, suburban",,Aasresser,,,,,падальщики,"Äcker, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, городская среда, пригород"
Sylvia borin,14,16-22,20-24.5,"insects, berries","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Sylviidae</div><div>Genus&nbsp;<i>Sylvia</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Grus grus,110-120,4-7k,220-245,"seeds, insects, snails, worms","farmland, grassland",,"Samen, Insekten, Schnecken, Würmer",,,,,"семена, насекомые , улитки, черви","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Milvus migrans,,,,,,,,,,,,,,,,,,
Columba oenas,30-33,290-330,60-66,seeds,"woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Columbiformes</div><div>Family Columbidae</div><div>Genus&nbsp;<i>Columba</i></div>,Samen,,,,,семена,"lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Tadorna tadorna,58-65,0.85-1.4 k,1.1-1.33 m,shellfish,"farmland, grassland, marine, intertidal",,Schalentiere,,,,,моллюски,"Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Serinus serinus,,,,,,,,,,,,,,,,,,
Regulus ignicapilla,9,5-7,13-16,insects,"woodland, urban, suburban",,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Lanius collurio,17,25-35,24-27,insects,"woodland, farmland, grassland, heathland, marine, intertidal",,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Grasland, Heide, Meer, Watt",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона"
Gallinago gallinago,23-28,80-120,39-45,worms,"farmland, grassland, marine, intertidal, upland",,Würmer,,,,,черви,"Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Lophophanes cristatus,11.5,10-13,17-20,"insects, seeds",woodland,,"Insekten, Samen",,,,,"насекомые , семена",lichte Wälder,,,,,редколесье
Dryocopus martius,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dryocopus</i></div>,,,,,,,,,,,,
Turdus iliacus,21,50-75,33-35,"berries, worms","woodland, farmland, grassland, urban, suburban",,"Beeren, Würmer",,,,,"ягоды, черви","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Saxicola rubicola,12.5,13-17,18-21,"seeds, fruits, blackberries","farmland, grassland, heathland, marine, intertidal",,"Samen, Früchte, Blaubeeren",,,,,"семена, фрукты, ежевика","Äcker, Grasland, Heide, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, пустоши, море, приливно-отливная зона"
Luscinia megarhynchos,15-17,17-24,23-26,insects,"woodland, grassland",,Insekten,,,,,насекомые ,"lichte Wälder, Grasland",,,,,"редколесье, травянистые сообщества"
Picus viridis,30-34,180-220,40-42,ants,"woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Picus</i></div>,Ameisen,,,,,муравьи,"lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Anser albifrons,65-78,1.9-2.5k,130-165,"grass, clover, grain, wheat, potatoes","farmland, grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Anser</i></div>,"Gras, Klee, Körner, Weizen, Kartoffeln",,,,,"трава, клевер, зерно, пшеница, картофель","Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Netta rufina,53-57,"900-1,400",85-90,stems,,,Stängel,,,,,стебли,,,,,,
Numenius arquata,50-60,"575-1,000 (Females averain 1,000 and males averain 770)",80-100,"worms, shellfish, shrimps","farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Numenius</i></div>,"Würmer, Schalentiere, Garnelen",,,,,"черви, моллюски, креветки","Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Certhia familiaris,12.5,8-12,18-21,"insects, seeds","woodland, farmland, urban, suburban",,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
