name,size,weight,wspan,food:en,habitat:en,taxonomy,food:de,food:eo,food:es,food:fr,food:nl,food:ru,habitat:de,habitat:eo,habitat:es,habitat:fr,habitat:nl,habitat:ru
Phoenicurus phoenicurus,14,11-19,20-24,"insects, worms, berries","woodland, upland, urban, suburban",,"Insekten, Würmer, Beeren",,,,,"насекомые , черви, ягоды","lichte Wälder, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, возвышенности, городская среда, пригород"
Curruca curruca,13,12  - the same as 12 paperclips or two oldcrests,18,"insects, berries","woodland, farmland, grassland, urban, suburban",,"Insekten, Beeren",,,,,"насекомые , ягоды","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Haematopus ostralegus,40-45,430-650,80-86,worms,"farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Haematopodidae</div><div>Genus&nbsp;<i>Haematopus</i></div>,Würmer,,,,,черви,"Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Muscicapa striata,14,14-19,23-25,"butterflies, damselflies, insects","woodland, farmland, urban, suburban",,"Schmetterlinge, kleine Libellen, Insekten",,,,,"бабочки, стрекозы, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Poecile montanus,11.5,8-14,17-19,"insects, seeds, berries","woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Paridae</div><div>Genus&nbsp;<i>Poecile</i></div>,"Insekten, Samen, Beeren",,,,,"насекомые , семена, ягоды","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Branta leucopsis,58-70,1.3 to 2.2 k,132-145,"stems, seeds","farmland, grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Branta</i></div>,"Stängel, Samen",,,,,"стебли, семена","Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Fringilla montifringilla,14,24,25-26,"seeds, insects","woodland, farmland, urban, suburban",,"Samen, Insekten",,,,,"семена, насекомые ","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Dendrocoptes medius,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dendrocopos</i></div>,,,,,,,,,,,,
Accipiter gentilis,48-62,"600-1,100 (male); 900-2,000 (female)",135-165,birds,"woodland, farmland, grassland, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Accipiter</i></div>,Vögel,,,,,птицы,"lichte Wälder, Äcker, Grasland, Hochland",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, возвышенности"
Riparia riparia,12,13-14,26-29,,farmland,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Hirundinidae</div><div>Genus&nbsp;<i>Riparia</i></div>,,,,,,,Äcker,,,,,сельскохозяиственные угодья
Larus marinus,64-78,1-2k,150-165,"shellfish, birds, carrion","farmland, marine, intertidal, upland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Schalentiere, Vögel, Aas",,,,,"моллюски, птицы, падаль","Äcker, Meer, Watt, Hochland, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, возвышенности, городская среда, пригород"
Haliaeetus albicilla,70-90,3.5-5k (male); 4-7k (female),200-240,"carrion, fish, birds, rabbits","farmland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Haliaeetus</i></div>,"Aas, Fische, Vögel, Kaninchen",,,,,"падаль, рыба, птицы, кролики","Äcker, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона, возвышенности"
Larus fuscus,52-64,"620-1,000",135-150,"omnivore, scavenger","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus&nbsp;<i>Larus</i></div>,"Allesfresser, Aasresser",,,,,"всеядные, падальщики","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Tringa ochropus,22,910 birds,1-2 pairs,insects,"farmland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus <i>Tringa</i></div>,Insekten,,,,,насекомые ,"Äcker, Meer, Watt",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона"
Sterna hirundo,,,,,,,,,,,,,,,,,,
Psittacula krameri,38-42,96-139,42-48,"fruits, berries, seeds","woodland, urban, suburban",,"Früchte, Beeren, Samen",,,,,"фрукты, ягоды, семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Tringa totanus,28,"110 (male), 130 (female)",62,"insects, earthworms, molluscs","grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Tringa</i></div>,"Insekten, Regenwürmer, Weichtiere",,,,,"насекомые , черви, моллюски","Grasland, Meer, Watt, Hochland",,,,,"травянистые сообщества, море, приливно-отливная зона, возвышенности"
Acrocephalus palustris,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,,,,,,,,,,,,
Anthus trivialis,15,20-25,25-27,berries,"woodland, grassland, heathland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Motacillidae</div><div>Genus&nbsp;<i>Anthus</i></div>,Beeren,,,,,ягоды,"lichte Wälder, Grasland, Heide",,,,,"редколесье, травянистые сообщества, пустоши"
Falco peregrinus,39-50,600-1300,95-115,"birds, pigeons","farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Falconiformes</div><div>Family Falconidae</div><div>Genus&nbsp;<i>Falco</i></div>,"Vögel, Tauben",,,,,"птицы, голуби","Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Podiceps nigricollis,28-34,250-350,56-60,insects,"marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Podicipediformes</div><div>Family Podicipedidae</div><div>Genus&nbsp;<i>Podiceps</i></div>,Insekten,,,,,насекомые ,"Meer, Watt",,,,,"море, приливно-отливная зона"
Luscinia svecica,,,,,,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Muscicapidae</div><div>Genus&nbsp;<i>Luscinia</i></div>,,,,,,,,,,,,
Dryobates minor,14-15,17-25,25-27,insects,"woodland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Piciformes</div><div>Family Picidae</div><div>Genus&nbsp;<i>Dendrocopos</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Falco subbuteo,28-36,131-340,70-92,insects,"woodland, farmland, grassland, heathland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Falconiformes</div><div>Family Falconidae</div><div>Genus&nbsp;<i>Falco</i></div>,Insekten,,,,,насекомые ,"lichte Wälder, Äcker, Grasland, Heide, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, городская среда, пригород"
Acrocephalus schoenobaenus,13,10-13,17-21,"insects, berries","farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Passeriformes</div><div>Family Acrocephalidae</div><div>Genus&nbsp;<i>Acrocephalus</i></div>,"Insekten, Beeren",,,,,"насекомые , ягоды","Äcker, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, городская среда, пригород"
Hippolais icterina,,,,,,,,,,,,,,,,,,
Strix aluco,37-39,330-590,94-104,"rodents, frogs, fish, insects, worms","woodland, farmland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Strix</i></div>,"Nagetiere, Frösche, Fische, Insekten, Würmer",,,,,"грызуны, лягушки, рыба, насекомые , черви","lichte Wälder, Äcker, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, городская среда, пригород"
Ficedula hypoleuca,13,12-15,21-24,"insects, caterpillars, fruits, seeds","woodland, urban, suburban",,"Insekten, Raupen, Früchte, Samen",,,,,"насекомые , гусеницы, фрукты, семена","lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Pandion haliaetus,52-60,1.2-2k,145-170,fish,"marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Pandionidae</div><div>Genus&nbsp;<i>Pandion</i></div>,Fische,,,,,рыба,"Meer, Watt",,,,,"море, приливно-отливная зона"
Circus cyaneus,44-52,300-400 (male) 400-600 (female),100-120,,"farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Circus</i></div>,,,,,,,"Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Phylloscopus sibilatrix,12-13,8-12,19.5-24,insects,"woodland, urban, suburban",,Insekten,,,,,насекомые ,"lichte Wälder, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, городская среда, пригород"
Loxia curvirostra,16.5,35-50,27-30.5,,woodland,,,,,,,,lichte Wälder,,,,,редколесье
Limosa limosa,40-44,280-340,70-82,"insects, worms, snails, plants, beetles, grasshoppers","grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Limosa</i></div>,"Insekten, Würmer, Schnecken, Pflanzen, Käfer, Grashüpfer",,,,,"насекомые , черви, улитки, растения, жуки, кузнечики","Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Cygnus cygnus,140-160,9-11 k,205-235,"grass, grain, potatoes","farmland, grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Cygnus</i></div>,"Gras, Körner, Kartoffeln",,,,,"трава, зерно, картофель","Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Pernis apivorus,52-60,"600-1,100",135-150,bees,woodland,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Accipitriformes</div><div>Family Accipitridae</div><div>Genus&nbsp;<i>Pernis</i></div>,Bienen,,,,,пчёлы,lichte Wälder,,,,,редколесье
Ardea purpurea,,,,"fish, amphibians, snakes, lizards, snails, insects","marshes, lagoons",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Pelecaniformes</div><div>Family Ardeidae</div><div>Genus&nbsp;<i>Ardea</i></div>,"Fische, Amphibien, Schlangen, Eidechsen, Schnecken, Insekten",,,,,"рыба, земноводные, змеи, ящерицы, улитки, насекомые ","Sümpfe, Lagunen",,,,,"болота, лагуны"
Platalea leucorodia,80-90,1.3-2k,120-135,,"marine, intertidal",,,,,,,,"Meer, Watt",,,,,"море, приливно-отливная зона"
Perdix perdix,30,390,46,"leaves, seeds, insects","farmland, grassland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Galliformes</div><div>Family Phasianidae</div><div>Genus&nbsp;<i>Perdix</i></div>,"Blätter, Samen, Insekten",,,,,"листья, семена, насекомые ","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Ichthyaetus melanocephalus,36-38,230-280,92-100,"insects, fish, offal, carrion","farmland, grassland, marine, intertidal, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Laridae</div><div>Genus <i>Ichthyaetus</i></div>,"Insekten, Fische, Fleischabfälle, Aas",,,,,"насекомые , рыба, потроха, падаль","Äcker, Grasland, Meer, Watt, Stadtgebiet, suburbane Gebiete",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, городская среда, пригород"
Numenius phaeopus,40-46,270-450,71-81,"insects, snails, slugs, crabs, shrimps, molluscs, worms","grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Charadriiformes</div><div>Family Scolopacidae</div><div>Genus&nbsp;<i>Numenius</i></div>,"Insekten, Schnecken, Nacktschnecken, Krabben, Garnelen, Weichtiere, Würmer",,,,,"насекомые , улитки, слизни, крабы, креветки, моллюски, черви","Grasland, Meer, Watt, Hochland",,,,,"травянистые сообщества, море, приливно-отливная зона, возвышенности"
Coturnix coturnix,16-18,75-135,32-35,"seeds, insects","farmland, grassland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Galliformes</div><div>Family Phasianidae</div><div>Genus&nbsp;<i>Coturnix</i></div>,"Samen, Insekten",,,,,"семена, насекомые ","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Asio otus,35-37,210-370,84-95,rodents,"woodland, farmland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Asio</i></div>,Nagetiere,,,,,грызуны,"lichte Wälder, Äcker",,,,,"редколесье, сельскохозяиственные угодья"
Bubo bubo,,,,"voles, rats, mice, rabbits, hares",,Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Bubo</i></div>,"Wühlmäuse, Ratten, Mäuse, Kaninchen, Hasen",,,,,"полёвки, крысы, мыши, кролики, зайцы",,,,,,
Asio flammeus,34-42,260-350,90-105,voles,"farmland, grassland, marine, intertidal, upland",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Asio</i></div>,Wühlmäuse,,,,,полёвки,"Äcker, Grasland, Meer, Watt, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона, возвышенности"
Athene noctua,21-23,140-220,54-58,"birds, beetles, worms","woodland, farmland, grassland, urban, suburban",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Strigidae</div><div>Genus&nbsp;<i>Athene</i></div>,"Vögel, Käfer, Würmer",,,,,"птицы, жуки, черви","lichte Wälder, Äcker, Grasland, Stadtgebiet, suburbane Gebiete",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, городская среда, пригород"
Luscinia luscinia,,,,"insects, worms",,,"Insekten, Würmer",,,,,"насекомые , черви",,,,,,
Cygnus columbianus bewickii,"115-127  from bill to tail, includin the lon neck. A winspan of 170-195","4-5,000 birds",Just under 6 k on averae,"potatoes, grain, grass","farmland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Anseriformes</div><div>Family Anatidae</div><div>Genus&nbsp;<i>Cygnus</i></div>,"Kartoffeln, Körner, Gras",,,,,"картофель, зерно, трава","Äcker, Meer, Watt",,,,,"сельскохозяиственные угодья, море, приливно-отливная зона"
Tyto alba,33-39,250-350,80-95,"mice, voles","farmland, grassland, marine, intertidal",Kingdom Animalia<div>Phylum Chordata</div><div>Class Aves</div><div>Order Strigiformes</div><div>Family Tytonidae</div><div>Genus&nbsp;<i>Tyto</i></div>,"Mäuse, Wühlmäuse",,,,,"мыши, полёвки","Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Saxicola rubetra,12.5,16-24,21-24,"insects, seeds","woodland, farmland, grassland, heathland, upland",,"Insekten, Samen",,,,,"насекомые , семена","lichte Wälder, Äcker, Grasland, Heide, Hochland",,,,,"редколесье, сельскохозяиственные угодья, травянистые сообщества, пустоши, возвышенности"
Oenanthe oenanthe,14.5-15.5,17-30,26-32,insects,"farmland, grassland, upland",,Insekten,,,,,насекомые ,"Äcker, Grasland, Hochland",,,,,"сельскохозяиственные угодья, травянистые сообщества, возвышенности"
Cinclus cinclus,18,55-75,25-30,shrimps,upland,,Garnelen,,,,,креветки,Hochland,,,,,возвышенности
Tringa nebularia,32,190,69,"worms, snails, fish","marine, intertidal",,"Würmer, Schnecken, Fische",,,,,"черви, улитки, рыба","Meer, Watt",,,,,"море, приливно-отливная зона"
Recurvirostra avosetta,42-45,260-290,77-80,worms,"grassland, marine, intertidal",,Würmer,,,,,черви,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Tringa glareola,19-21,50-90,36-40,"insects, worms, shellfish",grassland,,"Insekten, Würmer, Schalentiere",,,,,"насекомые , черви, моллюски",Grasland,,,,,травянистые сообщества
Tadorna ferruginea,58-65,0.85-1.4 k,1.1-1.33 m,shellfish,"farmland, grassland, marine, intertidal",,Schalentiere,,,,,моллюски,"Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Somateria mollissima,50-71,1.2-2.8k,80-108,shellfish,"marine, intertidal",,Schalentiere,,,,,моллюски,"Meer, Watt",,,,,"море, приливно-отливная зона"
Nucifraga caryocatactes,,,,,,,,,,,,,,,,,,
Oriolus oriolus,24,56-79,44-47,"insects, berries",woodland,,"Insekten, Beeren",,,,,"насекомые , ягоды",lichte Wälder,,,,,редколесье
Pyrrhocorax graculus,,,,"beetles, snails, grasshoppers, caterpillars, fruits, berries",mountains,,"Käfer, Schnecken, Grashüpfer, Raupen, Früchte, Beeren",,,,,"жуки, улитки, кузнечики, гусеницы, фрукты, ягоды",Berge,,,,,горы
Calidris alpina,16-20,40-50,35-40,"insects, snails, worms","farmland, grassland, marine, intertidal",,"Insekten, Schnecken, Würmer",,,,,"насекомые , улитки, черви","Äcker, Grasland, Meer, Watt",,,,,"сельскохозяиственные угодья, травянистые сообщества, море, приливно-отливная зона"
Calidris pugnax,20-32,70-150,46-58,"insects, frogs, seeds","farmland, grassland",,"Insekten, Frösche, Samen",,,,,"насекомые , лягушки, семена","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
Anas acuta,63-70,0.55 to 2.2 k,80-95,plants,"grassland, marine, intertidal",,Pflanzen,,,,,растения,"Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Charadrius hiaticula,18-20,55-75,48-57,"flies, molluscs","grassland, marine, intertidal",,"Fliegen, Weichtiere",,,,,"мухи, моллюски","Grasland, Meer, Watt",,,,,"травянистые сообщества, море, приливно-отливная зона"
Charadrius dubius,14-15,32-48,42-48,insects,grassland,,Insekten,,,,,насекомые ,Grasland,,,,,травянистые сообщества
Actitis hypoleucos,,,,"amphibians, insects, worms",reservoirs,,"Amphibien, Insekten, Würmer",,,,,"земноводные, насекомые , черви",künstliche Seen,,,,,водохранилища 
Anthus spinoletta,17,20-36,22.5-28,insects,grassland,,Insekten,,,,,насекомые ,Grasland,,,,,травянистые сообщества
Locustella luscinioides,,,,"insects, flies, beetles, damselflies","marshes, sedges",,"Insekten, Fliegen, Käfer, kleine Libellen",,,,,"насекомые , мухи, жуки, стрекозы","Sümpfe, Riedegras",,,,,"болота, камыши"
Rallus aquaticus,23-28,80-180,38-45,"omnivore, snails, insects","grassland, urban, suburban",,"Allesfresser, Schnecken, Insekten",,,,,"всеядные, улитки, насекомые ","Grasland, Stadtgebiet, suburbane Gebiete",,,,,"травянистые сообщества, городская среда, пригород"
Spatula querquedula,37-41,250-450,60-63,"plants, insects",grassland,,"Pflanzen, Insekten",,,,,"растения, насекомые ",Grasland,,,,,травянистые сообщества
Aix galericulata,41-49,430-690,68-74,"insects, seeds",woodland,,"Insekten, Samen",,,,,"насекомые , семена",lichte Wälder,,,,,редколесье
Acrocephalus arundinaceus,,,,"damselflies, beetles, frogs",,,"kleine Libellen, Käfer, Frösche",,,,,"стрекозы, жуки, лягушки",,,,,,
Anser serrirostris,53-70,"1.9-3.3k (m), 2.0-2.8k (f)",118-140,"grass, cereals, potatoes, crops","farmland, grassland",,"Gras, Getreide, Kartoffeln, Feldfrüchte",,,,,"трава, злаки, картофель, зерновые","Äcker, Grasland",,,,,"сельскохозяиственные угодья, травянистые сообщества"
